,question,Title,votenumber,yeas,nays,date,issue,result
30,On the Cloture Motion,Motion to Invoke Cloture: Donald Michael Remy to be Deputy Secretary of Veterans Affairs,00263,90,8,14-Jul,PN460,Agreed to
31,On the Cloture Motion,Motion to Invoke Cloture: J. Nellie Liang to be an Under Secretary of the Treasury,00262,72,27,14-Jul,PN414,Agreed to
32,On the Nomination,"Confirmation: Seema Nanda, of Virginia, to be Solicitor for the Department of Labor",00261,53,46,14-Jul,PN269,Confirmed
33,On the Nomination,"Confirmation: Jocelyn Samuels, of Maryland, to be a Member of the Equal Employment Opportunity Commission",00260,52,47,14-Jul,PN271,Confirmed
34,On the Cloture Motion,Motion to Invoke Cloture: Seema Nanda to be Solicitor for the Department of Labor,00259,53,47,14-Jul,PN269,Agreed to
35,On the Cloture Motion,Motion to Invoke Cloture: Jocelyn Samuels to be a Member of the Equal Employment Opportunity Commission,00258,53,47,14-Jul,PN271,Agreed to
36,On the Motion to Discharge,"Motion to Discharge: Jennifer Ann Abruzzo to be General Counsel of the National Labor Relations Board from the Committee on Health, Education, Labor, and Pensions",00257,50,48,13-Jul,PN126,Agreed to
37,On the Nomination,"Confirmation: Julie A. Su, of California, to be Deputy Secretary of Labor",00256,50,47,13-Jul,PN122,Confirmed
38,On the Cloture Motion,Motion to Invoke Cloture: Julie A. Su to be Deputy Secretary of Labor,00255,50,47,13-Jul,PN122,Agreed to
39,On the Nomination,"Confirmation: Uzra Zeya, of Virginia, to be an Under Secretary of State (Civilian Security, Democracy, and Human Rights) ",00254,73,24,13-Jul,PN241,Confirmed
40,On the Cloture Motion,"Motion to Invoke Cloture: Uzra Zeya to be an Under Secretary of State (Civilian Security, Democracy, and Human Rights)",00253,71,23,12-Jul,PN241,Agreed to
41,On the Nomination,"Confirmation: Candace Jackson-Akiwumi, of Illinois, to be U.S. Circuit Judge for the Seventh Circuit",00252,53,40,24-Jun,PN392,Confirmed
